dataset,n_qubits,seed,run_type,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
fashionmnist,4,123,no_pruning,,0.0,24,24,0.718000054359436,0.5682698202431202,0.03,0.72,391.8940989971161
fashionmnist,4,123,no_pruning,,0.0,24,24,0.718000054359436,0.5682698202431202,0.05,0.7,391.8940989971161
fashionmnist,4,123,no_pruning,,0.0,24,24,0.718000054359436,0.5682698202431202,0.1,0.7,391.8940989971161
fashionmnist,4,123,pruned,0.1,0.125,24,21,0.718000054359436,0.5682698202431202,0.0,0.6733333468437195,393.1037664413452
fashionmnist,4,123,pruned,0.1,0.125,24,21,0.718000054359436,0.5682698202431202,0.03,0.72,393.1037664413452
fashionmnist,4,123,pruned,0.1,0.125,24,21,0.718000054359436,0.5682698202431202,0.05,0.7,393.1037664413452
fashionmnist,4,123,pruned,0.1,0.125,24,21,0.718000054359436,0.5682698202431202,0.1,0.7,393.1037664413452
fashionmnist,4,123,pruned,0.25,0.25,24,18,0.7260000109672546,0.5684258506149054,0.0,0.6666666865348816,392.6932375431061
fashionmnist,4,123,pruned,0.25,0.25,24,18,0.7260000109672546,0.5684258506149054,0.03,0.72,392.6932375431061
fashionmnist,4,123,pruned,0.25,0.25,24,18,0.7260000109672546,0.5684258506149054,0.05,0.71,392.6932375431061
fashionmnist,4,123,pruned,0.25,0.25,24,18,0.7260000109672546,0.5684258506149054,0.1,0.71,392.6932375431061
fashionmnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.7260000109672546,0.5684258506149054,0.0,0.6399999856948853,393.2678337097168
fashionmnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.7260000109672546,0.5684258506149054,0.03,0.68,393.2678337097168
fashionmnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.7260000109672546,0.5684258506149054,0.05,0.7,393.2678337097168
fashionmnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.7260000109672546,0.5684258506149054,0.1,0.7,393.2678337097168
