dataset,n_qubits,seed,run_type,algorithm,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
fashionmnist,4,0,no_pruning,dense,,0.0,24,24,0.6680000424385071,0.5843149962872267,0.03,0.6,817.8028354644775
fashionmnist,4,0,no_pruning,dense,,0.0,24,24,0.6680000424385071,0.5843149962872267,0.05,0.6,817.8028354644775
fashionmnist,4,0,no_pruning,dense,,0.0,24,24,0.6680000424385071,0.5843149962872267,0.1,0.55,817.8028354644775
fashionmnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6840000152587891,0.4696644847624004,0.0,0.6933333277702332,960.3467302322388
fashionmnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6840000152587891,0.4696644847624004,0.03,0.65,960.3467302322388
fashionmnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6840000152587891,0.4696644847624004,0.05,0.64,960.3467302322388
fashionmnist,4,0,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6840000152587891,0.4696644847624004,0.1,0.58,960.3467302322388
fashionmnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.6720000505447388,0.4732382547320333,0.0,0.6700000166893005,958.1713500022888
fashionmnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.6720000505447388,0.4732382547320333,0.03,0.65,958.1713500022888
fashionmnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.6720000505447388,0.4732382547320333,0.05,0.62,958.1713500022888
fashionmnist,4,0,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.6720000505447388,0.4732382547320333,0.1,0.61,958.1713500022888
fashionmnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6700000166893005,0.49294424068629744,0.0,0.6666666865348816,959.7136235237122
fashionmnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6700000166893005,0.49294424068629744,0.03,0.65,959.7136235237122
fashionmnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6700000166893005,0.49294424068629744,0.05,0.64,959.7136235237122
fashionmnist,4,0,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6700000166893005,0.49294424068629744,0.1,0.68,959.7136235237122
fashionmnist,4,1,no_pruning,dense,,0.0,24,24,0.7320000529289246,0.5845556400716305,0.0,0.6633333563804626,818.9446797370911
fashionmnist,4,1,no_pruning,dense,,0.0,24,24,0.7320000529289246,0.5845556400716305,0.03,0.67,818.9446797370911
fashionmnist,4,1,no_pruning,dense,,0.0,24,24,0.7320000529289246,0.5845556400716305,0.05,0.65,818.9446797370911
fashionmnist,4,1,no_pruning,dense,,0.0,24,24,0.7320000529289246,0.5845556400716305,0.1,0.58,818.9446797370911
fashionmnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7240000367164612,0.47256248577013615,0.0,0.6466667056083679,959.8466687202454
fashionmnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7240000367164612,0.47256248577013615,0.03,0.66,959.8466687202454
fashionmnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7240000367164612,0.47256248577013615,0.05,0.66,959.8466687202454
fashionmnist,4,1,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7240000367164612,0.47256248577013615,0.1,0.63,959.8466687202454
fashionmnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7360000610351562,0.4788950397208333,0.0,0.6533333659172058,958.0893087387085
fashionmnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7360000610351562,0.4788950397208333,0.03,0.66,958.0893087387085
fashionmnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7360000610351562,0.4788950397208333,0.05,0.66,958.0893087387085
